Type,H,B,D,T,R,R1,SectionalArea,TheoreticalWeight
5,50,37,4.5,7,7,3.5,692.8,5.438
6.3,63,40,4.8,7.5,7.5,3.8,845.1,6.634
6.5,65,40,4.3,7.5,7.5,3.8,854.7,6.709
8,80,43,5,8,8,4,1024.8,8.045
10,100,48,5.3,8.5,8.5,4.2,1278.4,10.007
12,120,53,5.5,9,9,4.5,1536.2,12.059
12.6,126,53,5.5,9,9,4.5,1569.2,12.318
14a,140,58,6,9.5,9.5,4.8,1851.6,14.535
14b,140,60,8,9.5,9.5,4.8,2131.6,16.733
16a,160,63,6.5,10,10,5,2196.2,17.24
16b,160,65,8.5,10,10,5,2516.2,19.752
18a,180,68,7,10.5,10.5,5.2,2569.9,20.174
18b,180,70,9,10.5,10.5,5.2,2929.9,23
20a,200,73,7,11,11,5.5,2883.7,22.637
20b,200,75,9,11,11,5.5,3283.7,25.777
22a,220,77,7,11.5,11.5,5.8,3184.6,24.999
22b,220,79,9,11.5,11.5,5.8,3624.6,28.453
24a,240,78,7,12,12,6,3421.7,26.86
24b,240,80,9,12,12,6,3901.7,30.628
24c,240,82,11,12,12,6,4381.7,34.396
25a,250,78,7,12,12,6,3491.7,27.41
25b,250,80,9,12,12,6,3991.7,31.335
25c,250,82,11,12,12,6,4491.7,35.26
27a,270,82,7.5,12.5,12.5,6.2,3928.4,30.838
27b,270,84,9.5,12.5,12.5,6.2,4468.4,35.077
27c,270,86,11.5,12.5,12.5,6.2,5008.4,39.316
28a,280,82,7.5,12.5,12.5,6.2,4003.4,31.427
28b,280,84,9.5,12.5,12.5,6.2,4563.4,35.823
28c,280,86,11.5,12.5,12.5,6.2,5123.4,40.219
30a,300,85,7.5,13.5,13.5,6.8,4390.2,34.463
30b,300,87,9.5,13.5,13.5,6.8,4990.2,39.173
30c,300,89,11.5,13.5,13.5,6.8,5590.2,43.883
32a,320,88,8,14,14,7,4851.3,38.083
32b,320,90,10,14,14,7,5491.3,43.107
32c,320,92,12,14,14,7,6131.3,48.131
36a,360,96,9,16,16,8,6091.6,47.814
36b,360,98,11,16,16,8,6811,53.466
36c,360,100,13,16,16,8,7531,59.118
40a,400,100,10.5,18,18,9,7506.8,58.928
40b,400,102,12.5,18,18,9,8306.8,65.208
40c,400,104,14.5,18,18,9,9106.8,71.488
